股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
贵州茅台,600519,2021-09-10 09:31,1634.08,1634.08,1639.98,1634.08,506,82802294.0,0.36,0.0,0.0,0.0
贵州茅台,600519,2021-09-10 09:32,1634.26,1639.76,1639.99,1633.0,202,33051236.0,0.43,0.35,5.68,0.0
贵州茅台,600519,2021-09-10 09:33,1639.98,1641.06,1645.0,1639.98,294,48186661.0,0.31,0.08,1.3,0.0
贵州茅台,600519,2021-09-10 09:34,1642.97,1638.0,1642.97,1636.0,163,26810164.0,0.42,-0.19,-3.06,0.0
贵州茅台,600519,2021-09-10 09:35,1638.14,1643.35,1644.0,1637.96,262,42974888.0,0.37,0.33,5.35,0.0
贵州茅台,600519,2021-09-10 09:36,1643.99,1640.99,1644.0,1640.0,144,23689913.0,0.24,-0.14,-2.36,0.0
贵州茅台,600519,2021-09-10 09:37,1642.14,1642.0,1642.84,1638.96,205,33608619.0,0.24,0.06,1.01,0.0
贵州茅台,600519,2021-09-10 09:38,1642.97,1637.0,1642.97,1637.0,258,42313380.0,0.36,-0.3,-5.0,0.0
贵州茅台,600519,2021-09-10 09:39,1637.0,1639.08,1641.96,1636.58,197,32199844.0,0.33,0.13,2.08,0.0
贵州茅台,600519,2021-09-10 09:40,1639.84,1640.82,1641.93,1638.36,122,20009879.0,0.22,0.11,1.74,0.0
贵州茅台,600519,2021-09-10 09:41,1641.1,1648.88,1649.0,1641.1,643,105770534.0,0.48,0.49,8.06,0.01
贵州茅台,600519,2021-09-10 09:42,1649.49,1652.0,1654.0,1649.49,441,72711001.0,0.27,0.19,3.12,0.0
贵州茅台,600519,2021-09-10 09:43,1652.8,1652.55,1653.7,1651.78,641,105961608.0,0.12,0.03,0.55,0.01
贵州茅台,600519,2021-09-10 09:44,1652.55,1659.0,1659.32,1652.55,699,115771503.0,0.41,0.39,6.45,0.01
贵州茅台,600519,2021-09-10 09:45,1659.36,1655.0,1659.5,1653.5,275,45566667.0,0.36,-0.24,-4.0,0.0
贵州茅台,600519,2021-09-10 09:46,1656.0,1648.11,1656.02,1647.12,373,61670602.0,0.54,-0.42,-6.89,0.0
贵州茅台,600519,2021-09-10 09:47,1650.0,1653.62,1655.1,1650.0,216,35705338.0,0.31,0.33,5.51,0.0
贵州茅台,600519,2021-09-10 09:48,1654.0,1655.5,1656.48,1653.97,226,37348483.0,0.15,0.11,1.88,0.0
贵州茅台,600519,2021-09-10 09:49,1655.98,1653.88,1656.0,1653.88,281,46502072.0,0.13,-0.1,-1.62,0.0
贵州茅台,600519,2021-09-10 09:50,1654.89,1654.96,1654.96,1654.03,145,23991252.0,0.06,0.07,1.08,0.0
贵州茅台,600519,2021-09-10 09:51,1654.97,1658.9,1659.0,1654.97,380,62955887.0,0.24,0.24,3.94,0.0
贵州茅台,600519,2021-09-10 09:52,1659.0,1651.54,1659.0,1649.97,427,70574668.0,0.54,-0.44,-7.36,0.0
贵州茅台,600519,2021-09-10 09:53,1651.5,1653.0,1654.52,1651.5,117,19342309.0,0.18,0.09,1.46,0.0
贵州茅台,600519,2021-09-10 09:54,1653.0,1653.77,1654.0,1652.06,118,19509201.0,0.12,0.05,0.77,0.0
贵州茅台,600519,2021-09-10 09:55,1653.1,1651.5,1653.76,1651.5,196,32379641.0,0.14,-0.14,-2.27,0.0
贵州茅台,600519,2021-09-10 09:56,1651.5,1647.21,1651.95,1647.2,235,38771784.0,0.29,-0.26,-4.29,0.0
贵州茅台,600519,2021-09-10 09:57,1648.98,1648.25,1650.99,1648.0,115,18967302.0,0.18,0.06,1.04,0.0
贵州茅台,600519,2021-09-10 09:58,1648.25,1652.0,1652.0,1648.25,106,17583632.0,0.23,0.23,3.75,0.0
贵州茅台,600519,2021-09-10 09:59,1652.0,1651.99,1652.02,1650.67,129,21309708.0,0.08,0.0,-0.01,0.0
贵州茅台,600519,2021-09-10 10:00,1652.0,1652.5,1652.5,1649.2,129,21237276.0,0.2,0.03,0.51,0.0
贵州茅台,600519,2021-09-10 10:01,1652.0,1651.88,1652.97,1650.0,150,24832489.0,0.18,-0.04,-0.62,0.0
贵州茅台,600519,2021-09-10 10:02,1650.3,1648.6,1650.3,1648.6,174,28698290.0,0.1,-0.2,-3.28,0.0
贵州茅台,600519,2021-09-10 10:03,1648.0,1648.71,1648.8,1647.95,83,13682101.0,0.05,0.01,0.11,0.0
贵州茅台,600519,2021-09-10 10:04,1648.7,1648.0,1648.96,1647.95,134,22088415.0,0.06,-0.04,-0.71,0.0
贵州茅台,600519,2021-09-10 10:05,1648.96,1649.0,1649.25,1648.01,72,11885536.0,0.08,0.06,1.0,0.0
