股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
贵州茅台,600519,2021-09-01 09:31,1559.0,1561.0,1566.0,1558.88,953,148684483.0,0.46,0.19,3.0,0.01
贵州茅台,600519,2021-09-01 09:32,1560.1,1557.0,1561.11,1557.0,818,127627650.0,0.26,-0.26,-4.0,0.01
贵州茅台,600519,2021-09-01 09:33,1556.51,1551.0,1556.51,1551.0,691,107416402.0,0.35,-0.39,-6.0,0.01
贵州茅台,600519,2021-09-01 09:34,1552.0,1546.12,1552.0,1546.0,583,90332022.0,0.39,-0.31,-4.88,0.0
贵州茅台,600519,2021-09-01 09:35,1546.37,1549.9,1550.08,1542.0,784,121341999.0,0.52,0.24,3.78,0.01
贵州茅台,600519,2021-09-01 09:36,1549.27,1543.39,1549.27,1543.0,382,59102570.0,0.4,-0.42,-6.51,0.0
贵州茅台,600519,2021-09-01 09:37,1542.21,1538.83,1542.21,1538.0,526,80970639.0,0.27,-0.3,-4.56,0.0
贵州茅台,600519,2021-09-01 09:38,1537.5,1532.89,1537.5,1531.1,616,94536461.0,0.42,-0.39,-5.94,0.0
贵州茅台,600519,2021-09-01 09:39,1532.98,1536.98,1537.0,1532.98,504,77356317.0,0.26,0.27,4.09,0.0
贵州茅台,600519,2021-09-01 09:40,1537.0,1539.0,1539.0,1536.0,471,72376245.0,0.2,0.13,2.02,0.0
贵州茅台,600519,2021-09-01 09:41,1537.04,1543.0,1543.0,1536.68,416,64087931.0,0.41,0.26,4.0,0.0
贵州茅台,600519,2021-09-01 09:42,1542.42,1541.1,1543.06,1541.01,257,39632531.0,0.13,-0.12,-1.9,0.0
贵州茅台,600519,2021-09-01 09:43,1541.01,1540.5,1542.0,1540.0,418,64410530.0,0.13,-0.04,-0.6,0.0
贵州茅台,600519,2021-09-01 09:44,1540.79,1539.96,1540.88,1539.77,276,42510375.0,0.07,-0.04,-0.54,0.0
贵州茅台,600519,2021-09-01 09:45,1539.96,1537.77,1540.5,1537.77,451,69427546.0,0.18,-0.14,-2.19,0.0
贵州茅台,600519,2021-09-01 09:46,1537.77,1536.0,1537.77,1536.0,535,82204477.0,0.12,-0.12,-1.77,0.0
